data;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2024-09-06 09:45:13.963519;174;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Francis Flowers;masculino;dinheiro
2024-09-06 11:28:17.388461;175;Florianópolis;Gabriela Santos;Tablet Apple Ipad;Melissa Brown;feminino;cartão de crédito
2024-09-06 12:34:13.855994;176;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Stella Cradduck;feminino;boleto
2024-09-06 16:10:16.063388;177;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;George Sanderson;masculino;pix
2024-09-07 08:13:16.721075;178;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Sarah Lambert;feminino;dinheiro
2024-09-07 10:49:15.572106;179;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Chad Salley;masculino;dinheiro
2024-09-07 11:54:17.410499;180;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Debra Slagle;feminino;cartão de crédito
2024-09-07 13:13:15.323784;181;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Cruz Posthuma;masculino;boleto
2024-09-08 10:04:17.069072;182;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Clifton Vazquez;masculino;pix
2024-09-08 10:22:16.848396;183;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Ann Bray;feminino;pix
2024-09-08 10:49:18.366972;184;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Mirta Filer;feminino;cartão de crédito
2024-09-08 16:26:12.859800;185;São Paulo;Ana Oliveira;Tablet Apple Ipad;Amanda Aguilar;feminino;pix
2024-09-09 07:50:14.552418;186;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Russell Navejas;masculino;cartão de crédito
2024-09-09 13:31:16.136794;187;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Kenneth Reed;masculino;cartão de crédito
2024-09-09 16:06:13.960376;188;São Paulo;Lucas Pereira;Tablet Apple Ipad;Donald Armentrout;masculino;pix
2024-09-09 16:20:17.235603;189;São Paulo;Lucas Pereira;Smartwatch Garmin;Joetta Putnam;feminino;dinheiro
2024-09-09 18:08:13.870152;190;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Constance Rodriguez;feminino;dinheiro
2024-09-10 09:31:16.359602;191;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;Jeffrey Roth;masculino;pix
2024-09-10 11:45:15.126613;192;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Rose Arrington;feminino;pix
2024-09-10 12:14:17.271913;193;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Marion Reynolds;feminino;pix
2024-09-10 13:37:18.136447;194;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Peter Bernstein;masculino;cartão de crédito
2024-09-10 14:46:15.289945;195;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Jennie Mcdonald;feminino;cartão de crédito
2024-09-10 16:37:14.155778;196;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Mitchell Weaver;masculino;boleto
2024-09-11 10:21:17.951517;197;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;William Burke;masculino;cartão de crédito
2024-09-11 12:55:17.630045;198;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Ashley Flowers;feminino;boleto
2024-09-11 16:50:13.885257;199;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Julie Hall;feminino;dinheiro
2024-09-11 18:12:16.181299;200;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Alan Aguilar;masculino;boleto
2024-09-12 09:23:17.287105;201;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Edward Colburn;masculino;dinheiro
2024-09-12 10:52:15.395605;202;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Steven Lesperance;masculino;cartão de crédito
2024-09-12 10:57:18.052094;203;São Paulo;Lucas Pereira;Smartwatch Garmin;Thomas Llamas;masculino;cartão de crédito
2024-09-12 13:43:16.039368;204;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;James Webb;masculino;boleto
2024-09-12 15:03:14.882274;205;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Chrissy Crawford;feminino;boleto
2024-09-12 18:08:17.322289;206;São Paulo;Ana Oliveira;Tablet Apple Ipad;Robert Zurasky;masculino;dinheiro
2024-09-12 18:13:18.135443;207;São Paulo;Ana Oliveira;Smartwatch Garmin;Sarah Luther;feminino;boleto
2024-09-13 07:49:14.623034;208;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Richard Clayton;masculino;cartão de crédito
2024-09-13 08:10:17.484617;209;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Chery Jones;feminino;pix
2024-09-13 11:02:13.589350;210;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Danny Brame;masculino;pix
2024-09-14 11:44:15.097982;211;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Marissa Kenon;feminino;dinheiro
2024-09-14 14:36:18.343620;212;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Victoria Moore;feminino;cartão de crédito
2024-09-14 15:32:13.844836;213;Florianópolis;Tiago Lima;Smartwatch Garmin;Donna Mannon;feminino;cartão de crédito
